"row_id","pr_id","pr_number","pr_title","filename","line_number","rule_name","severity","message","fix_hint","line_content","feature_0","feature_1","feature_2","feature_3","feature_4","feature_5","feature_6","feature_7","feature_8","label","notes"
"1","3075589497","35297","[react-reconciler] Fix typos in comments","packages/react-reconciler/src/ReactChildFiber.js","82","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// This tracks the thenables that are unwrapped during reconciliation.","1","0","0","0","0","1","0","0","1","0",""
"2","3075589497","35297","[react-reconciler] Fix typos in comments","packages/react-reconciler/src/ReactFiberCommitViewTransitions.js","758","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// We still need to treat ""finishedWork"" as the Fiber that contains the flags for this commit.","2","0","0","0","0","1","0","0","1","0",""
"3","2885779631","34721","[typo] Fix common spelling errors across codebase","compiler/packages/babel-plugin-react-compiler/src/Inference/InferMutationAliasingEffects.ts","93","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","* to the current abstract state, and effects may be dropped or rewritten accordingly.","1","0","0","0","0","1","0","0","1","0",""
"4","2885779631","34721","[typo] Fix common spelling errors across codebase","packages/react-devtools-core/src/standalone.js","357","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// Because of this it relies on the extension to pass filters, so include them with the response here.","3","0","0","0","0","1","0","0","1","0",""
"5","2885779631","34721","[typo] Fix common spelling errors across codebase","packages/react-dom-bindings/src/client/ReactFiberConfigDOM.js","651","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// TODO: Consider unifying this with hydrateInstance.","2","0","0","0","0","1","0","0","1","0",""
"6","2885779631","34721","[typo] Fix common spelling errors across codebase","packages/react-dom-bindings/src/client/ReactFiberConfigDOM.js","2563","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// TODO: Consider iteration count higher than 1.","6","0","0","0","0","1","0","0","1","0",""
"7","2885779631","34721","[typo] Fix common spelling errors across codebase","packages/react-dom-bindings/src/client/ReactFiberConfigDOM.js","2579","syntax-error","critical","Syntax issue ? variable declaration has assignment operator but no value","Provide a value after = (e.g., const id = 1) or remove the assignment operator","const durationToRangeMultiplier =","4","0","0","0","0","0","0","0","1","1",""
"8","2885779631","34721","[typo] Fix common spelling errors across codebase","packages/react-dom-bindings/src/client/ReactFiberConfigDOM.js","2726","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// Skip readyCallback() and go straight to animateCallback() since we're not animating.","5","0","0","0","0","3","0","0","1","0",""
"9","2885779631","34721","[typo] Fix common spelling errors across codebase","packages/react-dom-bindings/src/client/ReactFiberConfigDOM.js","3893","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// on load so we call the callback now.","3","0","0","0","0","1","0","0","1","0",""
"10","2885779631","34721","[typo] Fix common spelling errors across codebase","packages/react-reconciler/src/ReactFiberHooks.js","579","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","// function, and are *not* double invoked during the second invocation:","2","0","0","0","0","0","0","0","1","0",""
"11","2885779631","34721","[typo] Fix common spelling errors across codebase","packages/react-reconciler/src/ReactFiberHooks.js","1850","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// snapshot and getSnapshot values to bail out. We need to check one more time.","2","0","0","0","0","2","0","0","1","0",""
"12","2885779631","34721","[typo] Fix common spelling errors across codebase","packages/react-reconciler/src/ReactFiberHooks.js","3465","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// Use a capital R prefix for server-generated ids.","3","0","0","0","0","1","0","0","1","0",""
"13","2885779631","34721","[typo] Fix common spelling errors across codebase","packages/react/src/__tests__/ReactES6Class-test.js","563","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","'NamedComponent has a method called componentWillReceiveProps(). Did ' +","4","0","0","0","0","2","0","0","1","0",""
"14","2885779631","34721","[typo] Fix common spelling errors across codebase","packages/react/src/__tests__/ReactES6Class-test.js","581","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","'NamedComponent has a method called UNSAFE_componentWillReceiveProps(). ' +","4","0","0","0","0","2","0","0","1","0",""
"15","2885779631","34721","[typo] Fix common spelling errors across codebase","packages/react/src/__tests__/ReactTypeScriptClass-test.ts","678","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","'MisspelledComponent2 has a method called componentWillReceiveProps(). ' +","4","0","0","0","0","2","0","0","1","0",""
"16","2885779631","34721","[typo] Fix common spelling errors across codebase","packages/react/src/__tests__/ReactTypeScriptClass-test.ts","687","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","'MisspelledComponent3 has a method called UNSAFE_componentWillReceiveProps(). ' +","4","0","0","0","0","2","0","0","1","0",""
"17","2885779631","34721","[typo] Fix common spelling errors across codebase","packages/react/src/__tests__/createReactClassIntegration-test.js","164","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","'Warning: A component has a method called componentWillReceiveProps(). Did you ' +","5","0","0","0","0","2","0","0","1","0",""
