"row_id","pr_id","pr_number","pr_title","filename","line_number","rule_name","severity","message","fix_hint","line_content","feature_0","feature_1","feature_2","feature_3","feature_4","feature_5","feature_6","feature_7","feature_8","label","notes","review_priority","review_reason"
"13","2885779631","34721","[typo] Fix common spelling errors across codebase","packages/react/src/__tests__/ReactES6Class-test.js","563","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","'NamedComponent has a method called componentWillReceiveProps(). Did ' +","4","0","0","0","0","2","0","0","1","0","","73","critical severity; syntax rule noisy area; likely missed true positive (code-like but labeled 0); test file edge case"
"14","2885779631","34721","[typo] Fix common spelling errors across codebase","packages/react/src/__tests__/ReactES6Class-test.js","581","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","'NamedComponent has a method called UNSAFE_componentWillReceiveProps(). ' +","4","0","0","0","0","2","0","0","1","0","","73","critical severity; syntax rule noisy area; likely missed true positive (code-like but labeled 0); test file edge case"
"15","2885779631","34721","[typo] Fix common spelling errors across codebase","packages/react/src/__tests__/ReactTypeScriptClass-test.ts","678","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","'MisspelledComponent2 has a method called componentWillReceiveProps(). ' +","4","0","0","0","0","2","0","0","1","0","","73","critical severity; syntax rule noisy area; likely missed true positive (code-like but labeled 0); test file edge case"
"16","2885779631","34721","[typo] Fix common spelling errors across codebase","packages/react/src/__tests__/ReactTypeScriptClass-test.ts","687","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","'MisspelledComponent3 has a method called UNSAFE_componentWillReceiveProps(). ' +","4","0","0","0","0","2","0","0","1","0","","73","critical severity; syntax rule noisy area; likely missed true positive (code-like but labeled 0); test file edge case"
"17","2885779631","34721","[typo] Fix common spelling errors across codebase","packages/react/src/__tests__/createReactClassIntegration-test.js","164","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","'Warning: A component has a method called componentWillReceiveProps(). Did you ' +","5","0","0","0","0","2","0","0","1","0","","73","critical severity; syntax rule noisy area; likely missed true positive (code-like but labeled 0); test file edge case"
"18","2885779631","34721","[typo] Fix common spelling errors across codebase","packages/react/src/__tests__/createReactClassIntegration-test.js","182","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","'Warning: A component has a method called UNSAFE_componentWillReceiveProps(). ' +","5","0","0","0","0","2","0","0","1","0","","73","critical severity; syntax rule noisy area; likely missed true positive (code-like but labeled 0); test file edge case"
"177","2731742577","34141","fix: prevent false positive static flag error for conditional hook calls","packages/react-reconciler/src/__tests__/ReactEarlyReturnHooksBug-test.js","15","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// ""Internal React error: Expected static flag was missing"" errors.","1","0","0","0","0","1","0","0","1","0","","73","critical severity; syntax rule noisy area; likely missed true positive (code-like but labeled 0); test file edge case"
"224","1019631294","25060","Implement basic stylesheet Resources for react-dom","packages/react-dom/src/__tests__/ReactDOMFizzServer-test.js","151","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// Await one turn around the event loop.","3","0","0","0","0","1","0","0","1","0","","73","critical severity; syntax rule noisy area; likely missed true positive (code-like but labeled 0); test file edge case"
"225","1019631294","25060","Implement basic stylesheet Resources for react-dom","packages/react-dom/src/__tests__/ReactDOMFizzServer-test.js","152","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// This assumes that we'll flush everything we have so far.","3","0","0","0","0","1","0","0","1","0","","73","critical severity; syntax rule noisy area; likely missed true positive (code-like but labeled 0); test file edge case"
"226","1019631294","25060","Implement basic stylesheet Resources for react-dom","packages/react-dom/src/__tests__/ReactDOMFizzServer-test.js","159","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// JSDOM doesn't support stream HTML parser so we need to give it a proper fragment.","3","0","0","0","0","1","0","0","1","0","","73","critical severity; syntax rule noisy area; likely missed true positive (code-like but labeled 0); test file edge case"
"227","1019631294","25060","Implement basic stylesheet Resources for react-dom","packages/react-dom/src/__tests__/ReactDOMFizzServer-test.js","160","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// We also want to execute any scripts that are embedded.","3","0","0","0","0","1","0","0","1","0","","73","critical severity; syntax rule noisy area; likely missed true positive (code-like but labeled 0); test file edge case"
"228","1019631294","25060","Implement basic stylesheet Resources for react-dom","packages/react-dom/src/__tests__/ReactDOMFizzServer-test.js","161","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// We assume that we have now received a proper fragment of HTML.","3","0","0","0","0","1","0","0","1","0","","73","critical severity; syntax rule noisy area; likely missed true positive (code-like but labeled 0); test file edge case"
"230","1019631294","25060","Implement basic stylesheet Resources for react-dom","packages/react-dom/src/__tests__/ReactDOMFizzServer-test.js","4354","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// non standard attribute which React allows but is not given any special treatment.","3","0","0","0","0","1","0","0","1","0","","73","critical severity; syntax rule noisy area; likely missed true positive (code-like but labeled 0); test file edge case"
"266","22382139","2300","Renamed Descriptor -> Element","src/browser/ui/__tests__/ReactMount-test.js","45","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","'Invariant Violation: renderComponent(): Invalid component element. ' +","4","0","0","0","0","2","0","0","1","0","","73","critical severity; syntax rule noisy area; likely missed true positive (code-like but labeled 0); test file edge case"
"267","22382139","2300","Renamed Descriptor -> Element","src/browser/ui/__tests__/ReactMount-test.js","60","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","'Invariant Violation: renderComponent(): Invalid component element. ' +","4","0","0","0","0","2","0","0","1","0","","73","critical severity; syntax rule noisy area; likely missed true positive (code-like but labeled 0); test file edge case"
"286","22382139","2300","Renamed Descriptor -> Element","src/core/__tests__/ReactCompositeComponent-test.js","117","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// component as per warnings about key usage in ReactElementValidator.","3","0","0","0","0","1","0","0","1","0","","73","critical severity; syntax rule noisy area; likely missed true positive (code-like but labeled 0); test file edge case"
